Data;"Dolar S.U.A.-Leu moldovenesc"
23.04.2012;11.7984
24.04.2012;11.8091
25.04.2012;11.7905
26.04.2012;11.7882
27.04.2012;11.7795
28.04.2012;11.7795
29.04.2012;11.7795
30.04.2012;11.7795
01.05.2012;11.7795
02.05.2012;11.7582
03.05.2012;11.7258
04.05.2012;11.7443
05.05.2012;11.7763
06.05.2012;11.7763
07.05.2012;11.7813
08.05.2012;11.8131
09.05.2012;11.8131
10.05.2012;11.8584
11.05.2012;11.8665
12.05.2012;11.8665
13.05.2012;11.8665
14.05.2012;11.8784
15.05.2012;11.8605
16.05.2012;11.8501
17.05.2012;11.8671
18.05.2012;11.8726
19.05.2012;11.8726
20.05.2012;11.8726
21.05.2012;11.8947
22.05.2012;11.881
23.05.2012;11.8815
24.05.2012;11.8722
25.05.2012;11.9236
26.05.2012;11.9236
27.05.2012;11.9236
28.05.2012;11.942
29.05.2012;11.9527
30.05.2012;11.9676
31.05.2012;12.0039
01.06.2012;12.0062
02.06.2012;12.0062
03.06.2012;12.0062
04.06.2012;12.0439
05.06.2012;12.0454
06.06.2012;12.0319
07.06.2012;12.0353
08.06.2012;12.0287
09.06.2012;12.0287
10.06.2012;12.0287
11.06.2012;12.0237
12.06.2012;12.0302
13.06.2012;12.0284
14.06.2012;12.0508
15.06.2012;12.0495
16.06.2012;12.0495
17.06.2012;12.0495
18.06.2012;12.0602
19.06.2012;12.0638
20.06.2012;12.0663
21.06.2012;12.102
22.06.2012;12.1244
23.06.2012;12.1244
24.06.2012;12.1244
25.06.2012;12.173
26.06.2012;12.1878
27.06.2012;12.261
28.06.2012;12.2625
29.06.2012;12.2607
30.06.2012;12.2607
01.07.2012;12.2607
02.07.2012;12.253
03.07.2012;12.2433
04.07.2012;12.2384
05.07.2012;12.235
06.07.2012;12.2343
07.07.2012;12.2343
08.07.2012;12.2343
09.07.2012;12.2524
10.07.2012;12.2736
11.07.2012;12.2878
12.07.2012;12.3015
13.07.2012;12.3203
14.07.2012;12.3203
15.07.2012;12.3203
16.07.2012;12.3527
17.07.2012;12.3562
18.07.2012;12.3835
19.07.2012;12.389
20.07.2012;12.4056
21.07.2012;12.4056
22.07.2012;12.4056
23.07.2012;12.4225
24.07.2012;12.436
25.07.2012;12.4707
26.07.2012;12.4997
27.07.2012;12.5305
28.07.2012;12.5305
29.07.2012;12.5305
30.07.2012;12.54
31.07.2012;12.5429
01.08.2012;12.5415
02.08.2012;12.5434
03.08.2012;12.5463
04.08.2012;12.5463
05.08.2012;12.5463
06.08.2012;12.5475
07.08.2012;12.5489
08.08.2012;12.5471
09.08.2012;12.5455
10.08.2012;12.5338
11.08.2012;12.5338
12.08.2012;12.5338
13.08.2012;12.5097
14.08.2012;12.4617
15.08.2012;12.4597
16.08.2012;12.4498
17.08.2012;12.4445
18.08.2012;12.4445
19.08.2012;12.4445
20.08.2012;12.4517
21.08.2012;12.4573
22.08.2012;12.4708
23.08.2012;12.4784
24.08.2012;12.4808
25.08.2012;12.4808
26.08.2012;12.4808
27.08.2012;12.4808
28.08.2012;12.4785
29.08.2012;12.4755
30.08.2012;12.4721
31.08.2012;12.4721
01.09.2012;12.4721
02.09.2012;12.4721
03.09.2012;12.4691
04.09.2012;12.4683
05.09.2012;12.4608
06.09.2012;12.4549
07.09.2012;12.4506
08.09.2012;12.4506
09.09.2012;12.4506
10.09.2012;12.4418
11.09.2012;12.4443
12.09.2012;12.435
13.09.2012;12.4179
14.09.2012;12.4161
15.09.2012;12.4161
16.09.2012;12.4161
17.09.2012;12.3852
18.09.2012;12.3974
19.09.2012;12.3568
20.09.2012;12.3613
21.09.2012;12.3585
22.09.2012;12.3585
23.09.2012;12.3585
24.09.2012;12.3672
25.09.2012;12.3682
26.09.2012;12.3761
27.09.2012;12.3928
28.09.2012;12.3851
29.09.2012;12.3851
30.09.2012;12.3851
01.10.2012;12.3793
02.10.2012;12.3797
03.10.2012;12.3722
04.10.2012;12.3685
05.10.2012;12.3567
06.10.2012;12.3567
07.10.2012;12.3567
08.10.2012;12.3205
09.10.2012;12.2725
10.10.2012;12.2648
11.10.2012;12.2426
12.10.2012;12.2196
13.10.2012;12.2196
14.10.2012;12.2196
15.10.2012;12.1925
16.10.2012;12.1714
17.10.2012;12.1668
18.10.2012;12.1592
19.10.2012;12.1665
20.10.2012;12.1665
21.10.2012;12.1665
22.10.2012;12.1767
23.10.2012;12.2
24.10.2012;12.2145
25.10.2012;12.238
26.10.2012;12.2487
27.10.2012;12.2487
28.10.2012;12.2487
29.10.2012;12.2515
30.10.2012;12.2437
31.10.2012;12.2657
01.11.2012;12.2848
02.11.2012;12.3067
03.11.2012;12.3067
04.11.2012;12.3067
05.11.2012;12.3076
06.11.2012;12.3181
07.11.2012;12.3334
08.11.2012;12.324
09.11.2012;12.3271
10.11.2012;12.3271
11.11.2012;12.3271
12.11.2012;12.3218
13.11.2012;12.3039
14.11.2012;12.3035
15.11.2012;12.295
16.11.2012;12.2988
17.11.2012;12.2988
18.11.2012;12.2988
19.11.2012;12.3103
20.11.2012;12.3081
21.11.2012;12.3183
22.11.2012;12.3399
23.11.2012;12.3643
24.11.2012;12.3643
25.11.2012;12.3643
26.11.2012;12.3834
27.11.2012;12.3977
28.11.2012;12.3905
29.11.2012;12.3866
30.11.2012;12.3768
01.12.2012;12.3768
02.12.2012;12.3768
03.12.2012;12.3692
04.12.2012;12.3483
05.12.2012;12.3338
06.12.2012;12.3061
07.12.2012;12.2951
08.12.2012;12.2951
09.12.2012;12.2951
10.12.2012;12.2657
11.12.2012;12.2515
12.12.2012;12.2414
13.12.2012;12.2334
14.12.2012;12.1997
15.12.2012;12.1997
16.12.2012;12.1997
17.12.2012;12.1726
18.12.2012;12.1597
19.12.2012;12.1224
20.12.2012;12.1105
21.12.2012;12.1037
22.12.2012;12.0905
23.12.2012;12.0905
24.12.2012;12.0927
25.12.2012;12.0927
26.12.2012;12.0881
27.12.2012;12.0633
28.12.2012;12.0634
29.12.2012;12.0634
30.12.2012;12.0634
31.12.2012;12.0634
01.01.2013;12.0634
02.01.2013;12.0667
03.01.2013;12.0789
04.01.2013;12.0964
05.01.2013;12.0964
06.01.2013;12.0964
07.01.2013;12.0964
08.01.2013;12.0964
09.01.2013;12.1039
10.01.2013;12.1374
11.01.2013;12.1878
12.01.2013;12.1878
13.01.2013;12.1878
14.01.2013;12.2186
15.01.2013;12.2047
16.01.2013;12.1844
17.01.2013;12.1911
18.01.2013;12.1809
19.01.2013;12.1809
20.01.2013;12.1809
21.01.2013;12.1378
22.01.2013;12.1209
23.01.2013;12.0987
24.01.2013;12.1086
25.01.2013;12.1168
26.01.2013;12.14
27.01.2013;12.14
28.01.2013;12.1475
29.01.2013;12.1358
30.01.2013;12.122
31.01.2013;12.0998
01.02.2013;12.0818
02.02.2013;12.0818
